Category,State/UT,2017,2018,2019,Percentage Share of State/UT (2019),Mid-Year Projected Population (in Lakhs) (2019),Rate of Total Cognizable Crime (IPC) (2019)+
State,Andhra Pradesh,132336,126635,119229,3.7,523.2,227.9
State,Arunachal Pradesh,2565,2613,2590,0.1,15.1,171.9
State,Assam,104324,112233,123512,3.8,344.2,358.9
State,Bihar,180573,196911,197935,6.1,1201.1,164.8
State,Chhattisgarh,58481,60178,61256,1.9,288.5,212.3
State,Goa,2965,2740,2465,0.1,15.4,159.8
State,Gujarat,128775,147574,139503,4.3,682.5,204.4
State,Haryana,97924,108212,111323,3.5,288.1,386.4
State,Himachal Pradesh,13007,14604,14480,0.4,73.2,197.9
State,Jammu & Kashmir,22667,24216,22404,0.7,135.3,165.6
State,Jharkhand,44595,45287,50048,1.6,375.8,133.2
State,Karnataka,146354,126534,120165,3.7,659.7,182.1
State,Kerala,235846,186958,175810,5.5,351.9,499.7
State,Madhya Pradesh,269512,248354,246470,7.6,826.1,298.3
State,Maharashtra,288879,346291,341084,10.6,1225.3,278.4
State,Manipur,3416,2869,2830,0.1,31.1,91.0
State,Meghalaya,3521,2921,3125,0.1,32.3,96.7
State,Mizoram,2118,1774,2379,0.1,12.0,199.1
State,Nagaland,1068,1223,1117,0.0,21.6,51.8
State,Odisha,83583,83769,96033,3.0,437.3,219.6
State,Punjab,39288,41640,44697,1.4,299.4,149.3
State,Rajasthan,169941,171889,225306,7.0,776.0,290.3
State,Sikkim,719,620,632,0.0,6.7,95.0
State,Tamil Nadu,178836,185912,168116,5.2,758.1,221.8
State,Telangana,119858,113951,118338,3.7,372.8,317.4
State,Tripura,3918,5325,5336,0.2,40.0,133.3
State,Uttar Pradesh,310084,342355,353131,10.9,2259.7,156.3
State,Uttarakhand,12889,14739,12081,0.4,111.8,108.0
State,West Bengal,163999,157610,157610,4.9,971.1,162.3
State,TOTAL STATE(S),2822041,2875937,2919005,90.5,13135.2,222.2
