State/UT,2017,2018,2019,Mid-Year Projected Population (in Lakhs) (2019),Rate of Total Cognizable Crime (IPC) (2019)+
Andhra Pradesh,132336,126635,119229,523.2,227.9
Arunachal Pradesh,2565,2613,2590,15.1,171.9
Assam,104324,112233,123512,344.2,358.9
Bihar,180573,196911,197935,1201.1,164.8
Chhattisgarh,58481,60178,61256,288.5,212.3
Goa,2965,2740,2465,15.4,159.8
Gujarat,128775,147574,139503,682.5,204.4
Haryana,97924,108212,111323,288.1,386.4
Himachal Pradesh,13007,14604,14480,73.2,197.9
Jammu & Kashmir,22667,24216,22404,135.3,165.6
Jharkhand,44595,45287,50048,375.8,133.2
Karnataka,146354,126534,120165,659.7,182.1
Kerala,235846,186958,175810,351.9,499.7
Madhya Pradesh,269512,248354,246470,826.1,298.3
Maharashtra,288879,346291,341084,1225.3,278.4
Manipur,3416,2869,2830,31.1,91.0
Meghalaya,3521,2921,3125,32.3,96.7
Mizoram,2118,1774,2379,12.0,199.1
Nagaland,1068,1223,1117,21.6,51.8
Odisha,83583,83769,96033,437.3,219.6
Punjab,39288,41640,44697,299.4,149.3
Rajasthan,169941,171889,225306,776.0,290.3
Sikkim,719,620,632,6.7,95.0
Tamil Nadu,178836,185912,168116,758.1,221.8
Telangana,119858,113951,118338,372.8,317.4
Tripura,3918,5325,5336,40.0,133.3
Uttar Pradesh,310084,342355,353131,2259.7,156.3
Uttarakhand,12889,14739,12081,111.8,108.0
West Bengal,163999,157610,157610,971.1,162.3
TOTAL STATE(S),2822041,2875937,2919005,13135.2,222.2
